species,count,last_seen,location,date,seen
Gadwall,1,2023-01-04,Whitewater Draw WA,2022-01-05,1
Golden Eagle,1,2023-01-04,Whitewater Draw WA,2022-01-05,0
Greater White-fronted Goose,1,2023-01-04,Whitewater Draw WA,2022-01-05,0
Green-tailed Towhee,1,2023-01-04,Whitewater Draw WA,2022-01-05,0
Green-winged Teal,1,2023-01-04,Whitewater Draw WA,2022-01-05,1
Killdeer,2,2023-01-04,Whitewater Draw WA,2022-01-05,1
Ladder-backed Woodpecker,2,2023-01-04,Whitewater Draw WA,2022-01-05,0
Least Sandpiper,27,2023-01-04,Whitewater Draw WA,2022-01-05,1
Loggerhead Shrike,1,2023-01-04,Whitewater Draw WA,2022-01-05,1
Mallard,4,2023-01-04,Whitewater Draw WA,2022-01-05,0
Marsh Wren,2,2023-01-04,Whitewater Draw WA,2022-01-05,0
Northern Harrier,5,2023-01-04,Whitewater Draw WA,2022-01-05,0
Northern Pintail,100,2023-01-04,Whitewater Draw WA,2022-01-05,1
Northern Shoveler,100,2023-01-04,Whitewater Draw WA,2022-01-05,1
Pied-billed Grebe,1,2023-01-04,Whitewater Draw WA,2022-01-05,0
Red-tailed Hawk,1,2023-01-04,Whitewater Draw WA,2022-01-05,1
Redhead,6,2023-01-04,Whitewater Draw WA,2022-01-05,0
Ring-billed Gull,1,2023-01-04,Whitewater Draw WA,2022-01-05,0
Ring-necked Duck,8,2023-01-04,Whitewater Draw WA,2022-01-05,0
Ross’s Goose,6,2023-01-04,Whitewater Draw WA,2022-01-05,0
Ruddy Duck,1,2023-01-04,Whitewater Draw WA,2022-01-05,1
Sandhill Crane,NA,2023-01-04,Whitewater Draw WA,2022-01-05,1
Savannah Sparrow,3,2023-01-04,Whitewater Draw WA,2022-01-05,1
Say’s Phoebe,4,2023-01-04,Whitewater Draw WA,2022-01-05,1
Snow Goose,NA,2023-01-04,Whitewater Draw WA,2022-01-05,1
Song Sparrow,1,2023-01-04,Whitewater Draw WA,2022-01-05,0
Sora,1,2023-01-04,Whitewater Draw WA,2022-01-05,0
Vermilion Flycatcher,5,2023-01-04,Whitewater Draw WA,2022-01-05,1
Virginia Rail,1,2023-01-04,Whitewater Draw WA,2022-01-05,0
Yellow-headed Blackbird,1,2023-01-04,Whitewater Draw WA,2022-01-05,0
Ring-necked Duck,1,2023-01-07,Reid Park,2022-01-08,1
Western Bluebird,1,2023-01-07,Reid Park,2022-01-08,1
Mallard,50,2023-01-07,Reid Park,2022-01-08,1
Lesser Scaup,1,2023-01-07,Reid Park,2022-01-08,0
Great Egret,1,2023-01-07,Reid Park,2022-01-08,0
Blue-winged Teal,2,2023-01-07,Reid Park,2022-01-08,0
American Wigeon,50,2023-01-07,Reid Park,2022-01-08,1
Black-crowned Night-Heron,1,2023-01-07,Reid Park,2022-01-08,0
Lewis’s Woodpecker,1,2023-01-07,Reid Park,2022-01-08,0
Cassin’s Kingbird,1,2023-01-07,Reid Park,2022-01-08,0
Cedar Waxwing,1,2023-01-07,Reid Park,2022-01-08,1
Neotropic Cormorant,4,2023-01-07,Reid Park,2022-01-08,1
Ladder-backed Woodpecker,1,2023-01-07,Reid Park,2022-01-08,0
European Starling,20,2023-01-07,Reid Park,2022-01-08,0
Curve-billed Thrasher,1,2023-01-07,Reid Park,2022-01-08,0
Brewer’s Blackbird,6,2023-01-07,Reid Park,2022-01-08,0
Wood Duck,2,2023-01-07,Reid Park,2022-01-08,0
Rock Pigeon,4,2023-01-07,Reid Park,2022-01-08,1
Sharp-shinned Hawk,1,2023-01-07,Reid Park,2022-01-08,0
Chipping Sparrow,1,2023-01-07,Reid Park,2022-01-08,0
Pied-billed Grebe,1,2023-01-07,Reid Park,2022-01-08,0
Eurasian Collared-Dove,1,2023-01-07,Reid Park,2022-01-08,0
Red-breasted Nuthatch,1,2023-01-07,Reid Park,2022-01-08,0
Northern Flicker,1,2023-01-07,Reid Park,2022-01-08,0
Red Crossbill,4,2023-01-07,Reid Park,2022-01-08,0
Dark-eyed Junco,1,2023-01-07,Reid Park,2022-01-08,0
Black-throated Gray Warbler,1,2023-01-07,Reid Park,2022-01-08,0
Mexican Duck,1,2023-01-07,Reid Park,2022-01-08,0
Costa’s Hummingbird,1,2023-01-07,Reid Park,2022-01-08,0
House Wren,1,2023-01-07,Reid Park,2022-01-08,0
Canvasback,3,2023-01-07,Reid Park,2022-01-08,1
Snowy Egret,1,2023-01-07,Reid Park,2022-01-08,0
Swan Goose,1,2023-01-07,Reid Park,2022-01-08,1
Great Blue Heron,1,2023-01-07,Reid Park,2022-01-08,0
Song Sparrow,6,2023-01-07,Reid Park,2022-01-08,0
Plumbeous Vireo,1,2023-01-06,Reid Park,2022-01-08,0
Red-naped Sapsucker,1,2023-01-06,Reid Park,2022-01-08,0
Belted Kingfisher,1,2023-01-06,Reid Park,2022-01-08,0
Greater Pewee,1,2023-01-05,Reid Park,2022-01-08,0
Peregrine Falcon,2,2023-01-05,Reid Park,2022-01-08,0
Summer Tanager,1,2023-01-05,Reid Park,2022-01-08,0
Pine Siskin,1,2023-01-04,Reid Park,2022-01-08,0
Cassin’s Finch,1,2023-01-04,Reid Park,2022-01-08,0
Black-tailed Gnatcatcher,2,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Pyrrhuloxia,NA,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Wood Duck,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Pied-billed Grebe,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Northern Flicker,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Song Sparrow,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Eurasian Collared-Dove,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Costa’s Hummingbird,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Belted Kingfisher,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Ladder-backed Woodpecker,1,2023-01-13,Sweetwater Wetlands,2023-01-14,1
Tree Swallow,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Marsh Wren,4,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Red-winged Blackbird,6,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Yellow Warbler,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Wilson’s Warbler,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Blue-winged Teal,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Mexican Duck,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Gambel’s Quail,3,2023-01-13,Sweetwater Wetlands,2023-01-14,1
Virginia Rail,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Plumbeous Vireo,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Blue-gray Gnatcatcher,2,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Spotted Sandpiper,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Black-throated Gray Warbler,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Sora,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Prairie Falcon,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Northern Rough-winged Swallow,1,2023-01-13,Sweetwater Wetlands,2023-01-14,0
Great Blue Heron,1,2023-01-12,Sweetwater Wetlands,2023-01-14,0
Dark-eyed Junco,NA,2023-01-12,Sweetwater Wetlands,2023-01-14,0
Yellow-headed Blackbird,1,2023-01-12,Sweetwater Wetlands,2023-01-14,0
Common Gallinule,1,2023-01-12,Sweetwater Wetlands,2023-01-14,0
European Starling,25,2023-01-11,Sweetwater Wetlands,2023-01-14,0
Phainopepla,1,2023-01-11,Sweetwater Wetlands,2023-01-14,0
Green Heron,2,2023-01-11,Sweetwater Wetlands,2023-01-14,0
Curve-billed Thrasher,1,2023-01-11,Sweetwater Wetlands,2023-01-14,0
Chipping Sparrow,2,2023-01-11,Sweetwater Wetlands,2023-01-14,0
Brewer’s Blackbird,50,2023-01-11,Sweetwater Wetlands,2023-01-14,0
Cassin’s Vireo,1,2023-01-11,Sweetwater Wetlands,2023-01-14,0
Lincoln’s Sparrow,2,2023-01-11,Sweetwater Wetlands,2023-01-14,0
Brown-headed Cowbird,1,2023-01-11,Sweetwater Wetlands,2023-01-14,0
Black-crowned Night-Heron,1,2023-01-10,Sweetwater Wetlands,2023-01-14,0
Cactus Wren,1,2023-01-10,Sweetwater Wetlands,2023-01-14,0
Great Egret,1,2023-01-10,Sweetwater Wetlands,2023-01-14,0
Blue-winged Teal,3,2023-01-16,Sweetwater Wetlands,2023-01-16,0
Black-tailed Gnatcatcher,2,2023-01-16,Sweetwater Wetlands,2023-01-16,0
European Starling,1,2023-01-16,Sweetwater Wetlands,2023-01-16,0
Red-winged Blackbird,1,2023-01-15,Sweetwater Wetlands,2023-01-16,1
Pyrrhuloxia,1,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Mexican Duck,2,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Lincoln’s Sparrow,1,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Northern Flicker,3,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Black-throated Gray Warbler,1,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Curve-billed Thrasher,1,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Pied-billed Grebe,1,2023-01-15,Sweetwater Wetlands,2023-01-16,1
Sharp-shinned Hawk,1,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Marsh Wren,3,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Song Sparrow,6,2023-01-15,Sweetwater Wetlands,2023-01-16,1
Swamp Sparrow,1,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Yellow-headed Blackbird,1,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Northern Harrier,1,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Sora,1,2023-01-15,Sweetwater Wetlands,2023-01-16,0
Eurasian Collared-Dove,2,2023-01-14,Sweetwater Wetlands,2023-01-16,0
Great Blue Heron,1,2023-01-14,Sweetwater Wetlands,2023-01-16,0
Great Egret,1,2023-01-14,Sweetwater Wetlands,2023-01-16,0
Red-naped Sapsucker,1,2023-01-14,Sweetwater Wetlands,2023-01-16,0
Northern Rough-winged Swallow,1,2023-01-14,Sweetwater Wetlands,2023-01-16,0
Spotted Sandpiper,1,2023-01-14,Sweetwater Wetlands,2023-01-16,0
Costa’s Hummingbird,1,2023-01-14,Sweetwater Wetlands,2023-01-16,0
Blue-gray Gnatcatcher,2,2023-01-14,Sweetwater Wetlands,2023-01-16,0
Peregrine Falcon,1,2023-01-14,Sweetwater Wetlands,2023-01-16,0
Yellow Warbler,1,2023-01-14,Sweetwater Wetlands,2023-01-16,0
Wilson’s Warbler,1,2023-01-14,Sweetwater Wetlands,2023-01-16,0
Tree Swallow,1,2023-01-13,Sweetwater Wetlands,2023-01-16,0
Wood Duck,1,2023-01-13,Sweetwater Wetlands,2023-01-16,0
Belted Kingfisher,1,2023-01-13,Sweetwater Wetlands,2023-01-16,0
Plumbeous Vireo,1,2023-01-13,Sweetwater Wetlands,2023-01-16,0
Virginia Rail,1,2023-01-13,Sweetwater Wetlands,2023-01-16,0
Prairie Falcon,1,2023-01-13,Sweetwater Wetlands,2023-01-16,0
Dark-eyed Junco,NA,2023-01-12,Sweetwater Wetlands,2023-01-16,0
Common Gallinule,1,2023-01-12,Sweetwater Wetlands,2023-01-16,0
Peregrine Falcon,1,2022-10-12,Elden Spring,2022-10-13,0
Townsend’s Solitaire,3,2022-10-11,Elden Spring,2022-10-13,1
Sharp-shinned Hawk,1,2022-10-11,Elden Spring,2022-10-13,0
Cassin’s Finch,4,2022-10-11,Elden Spring,2022-10-13,0
Canyon Wren,1,2022-10-11,Elden Spring,2022-10-13,0
Downy Woodpecker,1,2022-10-09,Elden Spring,2022-10-13,0
Juniper Titmouse,1,2022-10-07,Elden Spring,2022-10-13,0
Hutton’s Vireo,1,2022-10-07,Elden Spring,2022-10-13,0
Blue-gray Gnatcatcher,2,2022-10-07,Elden Spring,2022-10-13,0
Pinyon Jay,2,2022-10-06,Elden Spring,2022-10-13,0
Belted Kingfisher,1,2022-10-11,Ashurst Lake,2022-10-14,0
Bald Eagle,2,2022-10-11,Ashurst Lake,2022-10-14,0
Rock Wren,1,2022-10-11,Ashurst Lake,2022-10-14,0
Eared Grebe,29,2022-10-11,Ashurst Lake,2022-10-14,1
Western Grebe,3,2022-10-11,Ashurst Lake,2022-10-14,1
Savannah Sparrow,20,2022-10-11,Ashurst Lake,2022-10-14,1
Eastern Meadowlark,1,2022-10-11,Ashurst Lake,2022-10-14,0
Bushtit,1,2022-10-10,Ashurst Lake,2022-10-14,1
Common Merganser,4,2022-10-10,Ashurst Lake,2022-10-14,0
Pinyon Jay,5,2022-10-09,Ashurst Lake,2022-10-14,1
Ring-billed Gull,2,2022-10-14,Kachina Wetlands,2022-10-15,0
American Pipit,2,2022-10-14,Kachina Wetlands,2022-10-15,0
Evening Grosbeak,1,2022-10-14,Kachina Wetlands,2022-10-15,0
Virginia Rail,1,2022-10-14,Kachina Wetlands,2022-10-15,0
Bald Eagle,1,2022-10-10,Kachina Wetlands,2022-10-15,0
Sharp-shinned Hawk,1,2022-10-10,Kachina Wetlands,2022-10-15,1
Cassin’s Finch,3,2022-10-09,Kachina Wetlands,2022-10-15,0
Bell’s Vireo,6,2023-04-07,Sweetwater Wetlands,2023-04-08,1
Northern Rough-winged Swallow,2,2023-04-07,Sweetwater Wetlands,2023-04-08,1
Barn Swallow,1,2023-04-07,Sweetwater Wetlands,2023-04-08,0
Yellow-headed Blackbird,4,2023-04-07,Sweetwater Wetlands,2023-04-08,0
Brown-headed Cowbird,2,2023-04-07,Sweetwater Wetlands,2023-04-08,0
Yellow Warbler,1,2023-04-07,Sweetwater Wetlands,2023-04-08,1
Blue-winged Teal,2,2023-04-07,Sweetwater Wetlands,2023-04-08,0
Wilson’s Warbler,1,2023-04-07,Sweetwater Wetlands,2023-04-08,1
Sharp-shinned Hawk,1,2023-04-07,Sweetwater Wetlands,2023-04-08,0
Snowy Egret,1,2023-04-07,Sweetwater Wetlands,2023-04-08,0
White-faced Ibis,2,2023-04-07,Sweetwater Wetlands,2023-04-08,0
Belted Kingfisher,1,2023-04-07,Sweetwater Wetlands,2023-04-08,0
Warbling Vireo,1,2023-04-07,Sweetwater Wetlands,2023-04-08,0
Lincoln’s Sparrow,1,2023-04-07,Sweetwater Wetlands,2023-04-08,0
Tree Swallow,4,2023-04-07,Sweetwater Wetlands,2023-04-08,0
Costa’s Hummingbird,1,2023-04-06,Sweetwater Wetlands,2023-04-08,0
Mexican Duck,1,2023-04-06,Sweetwater Wetlands,2023-04-08,0
Violet-green Swallow,2,2023-04-06,Sweetwater Wetlands,2023-04-08,0
Cassin’s Vireo,1,2023-04-06,Sweetwater Wetlands,2023-04-08,0
Green Heron,1,2023-04-06,Sweetwater Wetlands,2023-04-08,0
Plumbeous Vireo,1,2023-04-05,Sweetwater Wetlands,2023-04-08,0
Black-throated Gray Warbler,1,2023-04-05,Sweetwater Wetlands,2023-04-08,0
Spotted Sandpiper,1,2023-04-05,Sweetwater Wetlands,2023-04-08,0
Cliff Swallow,3,2023-04-05,Sweetwater Wetlands,2023-04-08,0
Great Blue Heron,1,2023-04-05,Sweetwater Wetlands,2023-04-08,0
Virginia Rail,1,2023-04-05,Sweetwater Wetlands,2023-04-08,0
Sora,1,2023-04-05,Sweetwater Wetlands,2023-04-08,0
Common Gallinule,2,2023-04-05,Sweetwater Wetlands,2023-04-08,0
Swamp Sparrow,1,2023-04-05,Sweetwater Wetlands,2023-04-08,0
Cassin’s Kingbird,1,2023-04-04,Sweetwater Wetlands,2023-04-08,0
Western Kingbird,1,2023-04-04,Sweetwater Wetlands,2023-04-08,0
Great Egret,2,2023-04-04,Sweetwater Wetlands,2023-04-08,0
Chipping Sparrow,1,2023-04-04,Sweetwater Wetlands,2023-04-08,0
Black-crowned Night-Heron,1,2023-04-04,Sweetwater Wetlands,2023-04-08,0
Brewer’s Blackbird,200,2023-04-04,Sweetwater Wetlands,2023-04-08,0
Black-tailed Gnatcatcher,1,2023-04-04,Sweetwater Wetlands,2023-04-08,0
Swainson’s Hawk,1,2023-04-04,Sweetwater Wetlands,2023-04-08,0
Marsh Wren,1,2023-04-04,Sweetwater Wetlands,2023-04-08,0
Bank Swallow,2,2023-04-04,Sweetwater Wetlands,2023-04-08,0
Wilson’s Snipe,1,2023-04-04,Sweetwater Wetlands,2023-04-08,0
Pyrrhuloxia,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Green-tailed Towhee,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Cassin’s Kingbird,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Western Kingbird,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Black-crowned Night-Heron,3,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Blue-winged Teal,3,2023-04-15,Sweetwater Wetlands,2023-04-16,1
Double-crested Cormorant,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
White-faced Ibis,2,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Cliff Swallow,25,2023-04-15,Sweetwater Wetlands,2023-04-16,1
Virginia Rail,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Sora,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Green Heron,1,2023-04-15,Sweetwater Wetlands,2023-04-16,1
Summer Tanager,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Blue-gray Gnatcatcher,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Barn Swallow,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Plumbeous Vireo,1,2023-04-15,Sweetwater Wetlands,2023-04-16,1
Common Gallinule,2,2023-04-15,Sweetwater Wetlands,2023-04-16,0
MacGillivray’s Warbler,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Great Egret,2,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Great Blue Heron,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Lazuli Bunting,3,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Yellow-headed Blackbird,2,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Hammond’s Flycatcher,1,2023-04-15,Sweetwater Wetlands,2023-04-16,0
Rufous-winged Sparrow,2,2023-04-14,Sweetwater Wetlands,2023-04-16,0
Hooded Oriole,1,2023-04-14,Sweetwater Wetlands,2023-04-16,0
Mexican Duck,1,2023-04-14,Sweetwater Wetlands,2023-04-16,0
Bullock’s Oriole,1,2023-04-14,Sweetwater Wetlands,2023-04-16,0
Brewer’s Blackbird,2,2023-04-14,Sweetwater Wetlands,2023-04-16,0
Lincoln’s Sparrow,1,2023-04-14,Sweetwater Wetlands,2023-04-16,0
Cassin’s Vireo,1,2023-04-14,Sweetwater Wetlands,2023-04-16,0
Tree Swallow,2,2023-04-14,Sweetwater Wetlands,2023-04-16,0
Belted Kingfisher,1,2023-04-14,Sweetwater Wetlands,2023-04-16,0
Black-throated Gray Warbler,1,2023-04-13,Sweetwater Wetlands,2023-04-16,0
Snowy Egret,1,2023-04-13,Sweetwater Wetlands,2023-04-16,0
Black-necked Stilt,1,2023-04-13,Sweetwater Wetlands,2023-04-16,0
Brown-headed Cowbird,1,2023-04-13,Sweetwater Wetlands,2023-04-16,0
Violet-green Swallow,1,2023-04-13,Sweetwater Wetlands,2023-04-16,0
Black-tailed Gnatcatcher,1,2023-04-13,Sweetwater Wetlands,2023-04-16,0
Marsh Wren,1,2023-04-13,Sweetwater Wetlands,2023-04-16,0
Cordilleran Flycatcher,2,2023-05-27,Mt. Lemmon–Incinerator Ridge,2023-05-29,0
Spotted Towhee,5,2023-05-27,Mt. Lemmon–Incinerator Ridge,2023-05-29,1
Virginia’s Warbler,1,2023-05-26,Mt. Lemmon–Incinerator Ridge,2023-05-29,1
Grace’s Warbler,1,2023-05-26,Mt. Lemmon–Incinerator Ridge,2023-05-29,0
Red-faced Warbler,2,2023-05-26,Mt. Lemmon–Incinerator Ridge,2023-05-29,1
Brown Creeper,1,2023-05-26,Mt. Lemmon–Incinerator Ridge,2023-05-29,1
Northern Flicker,1,2023-05-26,Mt. Lemmon–Incinerator Ridge,2023-05-29,0
Hairy Woodpecker,1,2023-05-26,Mt. Lemmon–Incinerator Ridge,2023-05-29,0
Violet-green Swallow,2,2023-05-26,Mt. Lemmon–Incinerator Ridge,2023-05-29,1
Olive Warbler,1,2023-05-26,Mt. Lemmon–Incinerator Ridge,2023-05-29,0
Warbling Vireo,2,2023-05-25,Mt. Lemmon–Incinerator Ridge,2023-05-29,0
Black-throated Gray Warbler,1,2023-05-25,Mt. Lemmon–Incinerator Ridge,2023-05-29,0
Mountain Chickadee,2,2023-05-25,Mt. Lemmon–Incinerator Ridge,2023-05-29,0
Cassin’s Kingbird,2,2023-06-17,De Anza Trail–Tubac,2023-06-18,0
Common Ground Dove,1,2023-06-17,De Anza Trail–Tubac,2023-06-18,1
Brown-headed Cowbird,5,2023-06-17,De Anza Trail–Tubac,2023-06-18,0
Swainson’s Hawk,1,2023-06-17,De Anza Trail–Tubac,2023-06-18,1
Tropical Kingbird,1,2023-06-17,De Anza Trail–Tubac,2023-06-18,0
Yellow-breasted Chat,5,2023-06-17,De Anza Trail–Tubac,2023-06-18,1
Pyrrhuloxia,1,2023-06-17,De Anza Trail–Tubac,2023-06-18,0
Yellow-billed Cuckoo,3,2023-06-17,De Anza Trail–Tubac,2023-06-18,0
Green Kingfisher,1,2023-06-17,De Anza Trail–Tubac,2023-06-18,1
Northern Flicker,1,2023-06-17,De Anza Trail–Tubac,2023-06-18,0
Rose-throated Becard,3,2023-06-17,De Anza Trail–Tubac,2023-06-18,1
Great Blue Heron,1,2023-06-16,De Anza Trail–Tubac,2023-06-18,0
Zone-tailed Hawk,1,2023-06-16,De Anza Trail–Tubac,2023-06-18,0
Blue Grosbeak,1,2023-06-16,De Anza Trail–Tubac,2023-06-18,0
Northern Beardless-Tyrannulet,1,2023-06-15,De Anza Trail–Tubac,2023-06-18,0
Black-bellied Whistling-Duck,1,2023-06-15,De Anza Trail–Tubac,2023-06-18,0
Western Kingbird,1,2023-06-15,De Anza Trail–Tubac,2023-06-18,0
Brown-headed Cowbird,1,2023-06-23,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,0
Elf Owl,2,2023-06-23,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,0
Mexican Whip-poor-will,2,2023-06-23,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,0
Whiskered Screech-Owl,1,2023-06-23,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,0
Berylline Hummingbird,1,2023-06-23,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,1
Greater Pewee,1,2023-06-23,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,0
Cassin’s Kingbird,1,2023-06-22,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,0
Blue Grosbeak,1,2023-06-22,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,1
Scott’s Oriole,1,2023-06-22,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,0
Elegant Trogon,1,2023-06-22,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,1
Zone-tailed Hawk,1,2023-06-22,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,0
Black-throated Gray Warbler,1,2023-06-22,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,1
Northern Pygmy-Owl,1,2023-06-22,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,1
Canyon Wren,2,2023-06-21,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,0
Chihuahuan Raven,1,2023-06-21,Ramsey Canyon Preserve (formerly Mile Hi Ranch),2023-06-25,0
Mountain Chickadee,1,2023-06-30,Mt. Lemmon–Incinerator Ridge,2023-07-01,0
Northern Flicker,1,2023-06-30,Mt. Lemmon–Incinerator Ridge,2023-07-01,0
White-throated Swift,3,2023-06-28,Mt. Lemmon–Incinerator Ridge,2023-07-01,0
Warbling Vireo,1,2023-06-28,Mt. Lemmon–Incinerator Ridge,2023-07-01,0
Red-breasted Nuthatch,1,2023-06-28,Mt. Lemmon–Incinerator Ridge,2023-07-01,0
Blue-gray Gnatcatcher,3,2023-06-27,Mt. Lemmon–Incinerator Ridge,2023-07-01,0
Bushtit,5,2023-06-27,Mt. Lemmon–Incinerator Ridge,2023-07-01,1
Mountain Chickadee,2,2023-06-30,Mt. Lemmon–Palisades Visitor Center,2023-07-01,0
Northern Flicker,1,2023-06-30,Mt. Lemmon–Palisades Visitor Center,2023-07-01,0
Hairy Woodpecker,1,2023-06-30,Mt. Lemmon–Palisades Visitor Center,2023-07-01,0
Olive Warbler,1,2023-06-29,Mt. Lemmon–Palisades Visitor Center,2023-07-01,0
White-throated Swift,1,2023-06-28,Mt. Lemmon–Palisades Visitor Center,2023-07-01,0
Warbling Vireo,1,2023-06-28,Mt. Lemmon–Palisades Visitor Center,2023-07-01,0
Grace’s Warbler,2,2023-06-27,Mt. Lemmon–Palisades Visitor Center,2023-07-01,0
Northern Flicker,1,2023-07-21,Mt. Lemmon–Palisades Visitor Center,2023-07-23,0
Blue-gray Gnatcatcher,1,2023-07-21,Mt. Lemmon–Palisades Visitor Center,2023-07-23,0
Hairy Woodpecker,1,2023-07-21,Mt. Lemmon–Palisades Visitor Center,2023-07-23,0
Warbling Vireo,1,2023-07-21,Mt. Lemmon–Palisades Visitor Center,2023-07-23,0
Olive Warbler,1,2023-07-21,Mt. Lemmon–Palisades Visitor Center,2023-07-23,0
Red Crossbill,1,2023-07-21,Mt. Lemmon–Palisades Visitor Center,2023-07-23,0
Grace’s Warbler,2,2023-07-20,Mt. Lemmon–Palisades Visitor Center,2023-07-23,0
Mountain Chickadee,5,2023-07-20,Mt. Lemmon–Palisades Visitor Center,2023-07-23,0
Greater Pewee,1,2023-07-20,Mt. Lemmon–Palisades Visitor Center,2023-07-23,0
Canyon Wren,2,2023-07-20,Mt. Lemmon–Palisades Visitor Center,2023-07-23,0
Northern Flicker,6,2023-07-20,Mt. Lemmon–Bear Wallow,2023-07-23,1
Hairy Woodpecker,3,2023-07-20,Mt. Lemmon–Bear Wallow,2023-07-23,1
Mountain Chickadee,18,2023-07-20,Mt. Lemmon–Bear Wallow,2023-07-23,1
White-throated Swift,2,2023-07-20,Mt. Lemmon–Bear Wallow,2023-07-23,0
Red-breasted Nuthatch,2,2023-07-20,Mt. Lemmon–Bear Wallow,2023-07-23,0
Warbling Vireo,1,2023-08-11,Mt. Lemmon–Incinerator Ridge,2023-08-12,0
Chipping Sparrow,1,2023-08-11,Mt. Lemmon–Incinerator Ridge,2023-08-12,0
Hermit Warbler,1,2023-08-11,Mt. Lemmon–Incinerator Ridge,2023-08-12,1
Red Crossbill,2,2023-08-11,Mt. Lemmon–Incinerator Ridge,2023-08-12,1
Grace’s Warbler,4,2023-08-11,Mt. Lemmon–Incinerator Ridge,2023-08-12,1
Greater Pewee,1,2023-08-11,Mt. Lemmon–Incinerator Ridge,2023-08-12,1
Band-tailed Pigeon,1,2023-08-11,Mt. Lemmon–Incinerator Ridge,2023-08-12,0
Red-breasted Nuthatch,1,2023-08-11,Mt. Lemmon–Incinerator Ridge,2023-08-12,0
Olive Warbler,2,2023-08-11,Mt. Lemmon–Incinerator Ridge,2023-08-12,0
Townsend’s Warbler,1,2023-08-11,Mt. Lemmon–Incinerator Ridge,2023-08-12,0
